"kigo","yomigana","kyukana","bodai"
"屠蘇","とそ","","[""屠蘇祝ふ"",""屠蘇酒"",""屠蘇袋""]"
"鳥総松","とぶさまつ","","[""""]"
"鳥追","とりおい","とりおひ","[""""]"
"泣初","なきぞめ","","[""初泣""]"
"薺","なづな","","[""薺摘""]"
"薺打","なづなうつ","","[""七種打つ"",""七種はやす""]"
"七種","ななくさ","","[""七草""]"
"七種粥","ななくさがゆ","","[""七日粥"",""薺粥""]"
"七草爪","ななくさづめ","","[""薺爪"",""七日爪""]"
"七日","なぬか","","[""七日""]"
"七日正月","なぬかしょうがつ","なぬかしやうぐわつ","[""""]"
"なまはげ","なまはげ","","[""なもみ剥ぎ"",""あまみはぎ""]"
"成木責","なりきぜめ","","[""木責"",""果樹責"",""木を囃す""]"
"新野の雪祭","にいののゆきまつり","","[""雪祭"",""田楽祭""]"
"繞道祭","にょうどうさい","ねうだうさい","[""""]"
"縫初","ぬひぞめ","ぬいぞめ","[""縫始"",""初針"",""針起し""]"
"寝正月","ねしょうがつ","ねしやうぐわつ","[""""]"
"子日草","ねのひぐさ","","[""姫小松"",""茶筅松"",""子の日の松""]"
"年賀","ねんが","","[""年始"",""年礼"",""廻礼"",""年始廻り"",""賀詞""]"
"年酒","ねんしゅ","","[""年酒"",""年始酒""]"
"能始","のうはじめ","","[""初能""]"
"乗初","のりぞめ","","[""初乗"",""初電車"",""初車"",""船乗初"",""初飛行""]"
"歯固","はがため","","[""""]"
"掃初","はきぞめ","","[""初帚"",""初掃除""]"
"箱根駅伝","はこねえきでん","","[""""]"
"羽子板","はごいた","","[""胡鬼板"",""はご""]"
"機始","はたはじめ","","[""織初"",""初機""]"
"初茜","はつあかね","","[""""]"
"初明り","はつあかり","","[""初夜明""]"
"初商","はつあきない","はつあきなひ","[""商始"",""売初""]"
"初浅間","はつあさま","","[""""]"
"初伊勢","はついせ","","[""初参宮""]"
"初市","はついち","","[""市始"",""初市場"",""初立会"",""初相場"",""初糶""]"
"初卯","はつう","","[""初卯詣"",""卯の札"",""卯杖"",""卯槌""]"
"初鴬","はつうぐいす","はつうぐひす","[""""]"
"初閻魔","はつえんま","","[""閻魔詣""]"
"初鏡","はつかがみ","","[""初化粧""]"
"初篝","はつかがり","","[""""]"
"初神楽","はつかぐら","","[""神楽始""]"
"二十日正月","はつかしょうがつ","はつかしやうがつ","[""団子正月"",""二十日団子"",""骨正月"",""頭正月""]"
"初風","はつかぜ","","[""春の初風"",""初松籟""]"
"初竃","はつかまど","","[""焚初""]"
"初観音","はつかんのん","はつくわんおん","[""""]"
"初霞","はつがすみ","","[""新霞""]"
"初釜","はつがま","","[""初茶湯"",""初点前""]"
"初髪","はつがみ","","[""初結"",""結ひ初"",""梳初""]"
"初鴉","はつがらす","","[""""]"
"初句会","はつくかい","はつくくわい","[""新年句会""]"
"初景色","はつげしき","","[""""]"
"初声","はつこえ","はつこゑ","[""""]"
"初金毘羅","はつこんぴら","","[""初金刀比羅"",""初十日""]"
"初東風","はつごち","","[""節東風""]"
"初暦","はつごよみ","","[""新暦""]"
"初勤行","はつごんぎょう","はつごんぎゃう","[""初鐘"",""初読経"",""初燈明"",""初燈""]"
"初東雲","はつしののめ","","[""初曙""]"
"初芝居","はつしばい","はつしばゐ","[""初春狂言"",""春芝居"",""初曽我"",""二の替""]"
"初写真","はつしゃしん","","[""初写し""]"
"初雀","はつすずめ","","[""""]"
"初硯","はつすずり","","[""""]"
"初刷","はつずり","","[""刷初"",""初新聞""]"
"初染","はつぞめ","","[""染始""]"
"初空","はつぞら","","[""初御空""]"
"初旅","はつたび","","[""旅始"",""旅行始""]"
"初大師","はつだいし","","[""初弘法""]"
"初便り","はつだより","","[""初郵便""]"
"初筑波","はつつくば","","[""""]"
"初鼓","はつつづみ","","[""鼓始""]"
"初手水","はつてうづ","","[""""]"
"初天神","はつてんじん","","[""宵天神"",""残り天神"",""天神花"",""天神旗""]"
"初電話","はつでんわ","","[""""]"
"初寅","はつとら","","[""""]"
"初鶏","はつどり","","[""""]"
"初凪","はつなぎ","","[""""]"
"初荷","はつに","","[""初荷舟"",""初荷馬"",""飾馬""]"
"初日記","はつにっき","","[""日記始""]"
"初音売","はつねうり","","[""初音笛""]"
"初鳩","はつはと","","[""""]"
