"kigo","yomigana","kyukana","bodai"
"風車","かざぐるま","","[""風車売""]"
"樫の花","かしのはな","","[""花樫""]"
"搗布","かじめ","かぢめ","[""""]"
"果樹植う","かじゅうう","くわじゆうう","[""""]"
"春日祭","かすがまつり","","[""申祭""]"
"霞","かすみ","","[""春霞"",""朝霞"",""夕霞"",""遠霞"",""薄霞"",""棚霞"",""霞む""]"
"数の子製す","かずのこせいす","","[""数の子干す"",""新数の子""]"
"風光る","かぜひかる","","[""光る風""]"
"片栗の花","かたくりのはな","","[""かたかごの花""]"
"蝌蚪","かと","くわと","[""蛙子"",""蛙の子"",""お玉杓子"",""蛙生る"",""蝌蚪生る"",""蝌蚪の紐""]"
"鐘供養","かねくよう","かねくやう","[""""]"
"花粉症","かふんしょう","くわふんしやう","[""""]"
"亀鳴く","かめなく","","[""""]"
"鴨川踊","かもがわおどり","かもがはをどり","[""""]"
"髢草","かもじぐさ","","[""雛草"",""鬘草""]"
"芥菜","からしな","","[""芥子菜""]"
"烏貝","からすがい","からすがひ","[""""]"
"鴉の巣","からすのす","","[""鳥の巣""]"
"枸橘の花","からたちのはな","","[""からたちの花"",""枳殻""]"
"蛙の目借時","かわずのめかりどき","かはづのめかりどき","[""目借時""]"
"寒明","かんあけ","","[""寒明ける"",""寒の明け""]"
"観潮","かんちょう","くわんてう","[""渦見"",""渦潮見"",""渦見船"",""観潮船""]"
"雁風呂","がんぶろ","","[""雁供養""]"
"木苺の花","きいちごのはな","","[""もみぢ苺の花"",""粟苺の花"",""下り苺の花""]"
"其角忌","きかくき","","[""晋子忌"",""晋翁忌""]"
"菊根分","きくねわけ","","[""菊分つ"",""菊植う""]"
"菊の苗","きくのなえ","きくのなへ","[""菊の芽""]"
"細螺","きさご","","[""きしゃご""]"
"如月","きさらぎ","","[""衣更着（きさらぎ）""]"
"雉","きじ","","[""雉子"",""きぎす"",""きぎし"",""雉のほろろ""]"
"雉笛","きじぶえ","","[""""]"
"黄水仙","きずいせん","","[""糸水仙""]"
"北野菜種御供","きたのなたねごく","","[""北野御忌日"",""天神御忌"",""梅花祭"",""梅花御供"",""道真忌"",""菜種の神事""]"
"北窓開く","きたまどひらく","","[""""]"
"木流し","きながし","","[""修羅落し"",""初筏""]"
"木の根明く","きのねあく","","[""根開き""]"
"木の芽和","きのめあえ","きのめあへ","[""山椒和""]"
"木五倍子の花","きぶしのはな","","[""通条花（きぶし）"",""木五倍子（きぶし）咲く""]"
"球根植う","きゅうこんうう","きうこんうう","[""ダリア植う"",""百合植う""]"
"旧正月","きゅうしょうがつ","きゅうしょうぐあつ","[""旧正（きゅうしょう）"",""春節""]"
"競漕","きょうそう","","[""レガッタ""]"
"曲水","きょくすい","きよくすい","[""曲水の宴"",""曲水"",""流觴"",""盃流し""]"
"虚子忌","きょしき","きよしき","[""椿寿忌""]"
"金盞花","きんせんか","きんせんくわ","[""常春花"",""長春花""]"
"金鳳花","きんぽうげ","","[""さんぽうげ"",""馬の脚形"",""駒の脚形""]"
"義士祭","ぎしさい","","[""義士祭""]"
"御忌","ぎょき","ぎよき","[""法然忌"",""円光忌"",""御忌詣"",""御忌参"",""御忌の寺"",""御忌の鐘"",""御忌小袖"",""弁当始""]"
"茎立","くくだち","","[""くきだち""]"
"枸杞の芽","くこのめ","","[""枸杞芽"",""枸杞飯""]"
"草の芽","くさのめ","","[""名草の芽""]"
"草餅","くさもち","","[""蓬餅""]"
"草若葉","くさわかば","","[""菊若葉"",""萩若葉"",""芭蕉の若葉"",""罌粟の若葉""]"
"鞍馬の花供養","くらまのはなくよう","くらまのはなくやう","[""鞍馬花会式"",""花供懺法""]"
"暮の春","くれのはる","","[""暮春"",""春暮るる"",""春の果""]"
"クロッカス","くろっかす","","[""""]"
"桑","くわ","くは","[""桑の芽"",""芽桑"",""桑の花""]"
"慈姑掘る","くわいほる","くわゐほる","[""""]"
"桑摘","くわつみ","くはつみ","[""桑摘女"",""桑摘唄"",""桑籠"",""桑車""]"
"桑解く","くわとく","くはとく","[""桑ほどく""]"
"啓蟄","けいちつ","","[""""]"
"華鬘草","けまんそう","けまんさう","[""華鬘牡丹"",""けまん"",""瓔珞牡丹"",""藤牡丹"",""鯛釣草""]"
"建国記念日","けんこくきねんび","","[""建国の日"",""建国祭"",""紀元節""]"
"憲法記念日","けんぽうきねんび","けんぱふきねんび","[""""]"
"紫雲英","げんげ","","[""蓮華草"",""げんげん"",""五形花""]"
"幻氷","げんぴょう","げんぴよう","[""""]"
"光悦忌","こうえつき","くわうえつき","[""""]"
"黄砂","こうさ","くわうさ","[""霾る"",""霾"",""霾ぐもり"",""霾風"",""霾天"",""黄塵"",""黄砂降る""]"
"紅梅","こうばい","","[""薄紅梅""]"
"氷解","こおりどけ","こほりどけ","[""氷解く"",""氷消ゆ"",""解氷"",""浮氷""]"
"蚕飼","こがい","こがひ","[""養蚕"",""種紙"",""毛蚕"",""掃立"",""蚕の眠り"",""飼屋"",""蚕棚"",""蚕室"",""蚕籠"",""捨蚕"",""蚕飼時""]"
"穀雨","こくう","","[""""]"
"小綬鶏","こじゅけい","","[""""]"
"炬燵塞ぐ","こたつふさぐ","","[""炬燵の名残""]"
"東風","こち","","[""朝東風"",""夕東風"",""強東風"",""雲雀東風"",""鰆東風"",""梅東風"",""桜東風""]"
"こでまりの花","こでまりのはな","","[""小粉団の花"",""小手毬の花"",""団子花"",""すずかけの花""]"
"木の実植う","このみうう","","[""""]"
"木の芽","このめ","","[""芽立ち"",""芽吹く"",""芽組む"",""木の芽時"",""木の芽雨"",""木の芽風""]"
"辛夷","こぶし","","[""木筆"",""山木蘭"",""幣辛夷"",""やまあららぎ""]"
"子持鯊","こもちはぜ","","[""""]"
"ゴールデンウィーク","ごーるでんうぃーく","","[""黄金週間""]"
"西行忌","さいぎょうき","さいぎやうき","[""円位忌"",""山家忌""]"
"サイネリア","さいねりあ","","[""シネラリア"",""蕗菊"",""富貴菊"",""蕗桜""]"
"冴返る","さえかえる","さえかへる","[""凍返る"",""寒戻る""]"
"囀","さえずり","さへづり","[""百千鳥""]"
"佐保姫","さおひめ","さほひめ","[""""]"
"嵯峨大念仏","さがだいねんぶつ","","[""嵯峨念仏"",""融通念仏"",""花念仏"",""嵯峨大念仏狂言""]"
"嵯峨の柱炬","さがのはしらたいまつ","","[""嵯峨御松明"",""柱松明""]"
"桜","さくら","","[""彼岸桜"",""枝垂桜"",""糸桜"",""大山桜"",""大島桜"",""富士桜"",""豆桜"",""霞桜"",""嶺桜"",""深山桜"",""丁子桜"",""牡丹桜"",""里桜"",""染井吉野"",""朝桜"",""夕桜"",""夜桜"",""若桜"",""老桜""]"
"桜鰄","さくらうぐい","さくらうぐひ","[""右斑魚"",""花うぐひ""]"
"桜貝","さくらがい","さくらがひ","[""花貝"",""紅貝""]"
"桜蘂降る","さくらしべふる","","[""""]"
"桜草","さくらそう","さくらさう","[""プリムラ""]"
